task_id,rep,n,p,p_eff,corr,auc,ci_width,ci_lower,ci_upper,selected_mtry,selected_ntree,class_balance
1,1,100,5,5.0,0.0,0.8911138493859083,0.1578124999999999,0.8146205357142857,0.9724330357142856,5,100,0.55
2,2,100,5,5.0,0.0,0.8870535714285713,0.17578125,0.7767299107142857,0.9525111607142857,3,400,0.46
3,3,100,5,5.0,0.0,0.7697963800904979,0.2392533936651583,0.6196266968325792,0.8588800904977375,1,200,0.56
4,4,100,5,5.0,0.0,0.8552222222222223,0.127,0.7887777777777778,0.9157777777777778,5,400,0.5
5,5,100,5,5.0,0.0,0.8151785714285713,0.1969866071428571,0.7286272321428572,0.9256138392857143,1,400,0.46
6,6,100,5,5.0,0.0,0.7736965699741435,0.20837053571428565,0.7004464285714286,0.9088169642857142,4,600,0.55
7,7,100,5,5.0,0.0,0.7816666666666667,0.2426666666666666,0.6154444444444445,0.858111111111111,5,600,0.5
8,8,100,5,5.0,0.0,0.8372767857142855,0.14687499999999987,0.7578125,0.9046874999999999,1,100,0.53
9,9,100,5,5.0,0.0,0.8788888888888888,0.17805555555555563,0.8082222222222222,0.9862777777777778,2,600,0.5
10,10,100,5,5.0,0.0,0.8588235294117647,0.16674208144796387,0.775339366515837,0.9420814479638009,1,600,0.58
11,11,100,5,5.0,0.0,0.8172222222222223,0.19266666666666676,0.7023888888888888,0.8950555555555556,4,500,0.5
12,12,100,5,5.0,0.0,0.8311383928571429,0.19464285714285712,0.7388392857142857,0.9334821428571428,2,500,0.52
20,20,100,5,5.0,0.0,0.8978888888888891,0.1517777777777778,0.8222222222222222,0.974,1,400,0.49
19,19,100,5,5.0,0.0,0.8497685185185186,0.16122685185185182,0.7577546296296297,0.9189814814814815,1,100,0.59
16,16,100,5,5.0,0.0,0.8382812499999999,0.19497767857142856,0.7495535714285715,0.94453125,2,500,0.54
15,15,100,5,5.0,0.0,0.7221111111111111,0.2232222222222221,0.6410555555555556,0.8642777777777777,1,500,0.51
14,14,100,5,5.0,0.0,0.7018099547511311,0.17296380090497743,0.6238687782805429,0.7968325791855203,4,600,0.56
17,17,100,5,5.0,0.0,0.7262443438914026,0.19773755656108605,0.6421945701357465,0.8399321266968326,1,500,0.57
13,13,100,5,5.0,0.0,0.7863333333333333,0.18505555555555542,0.7007222222222222,0.8857777777777777,1,300,0.49
18,18,100,5,5.0,0.0,0.79609375,0.20011160714285714,0.7274553571428571,0.9275669642857143,1,500,0.48
21,1,100,5,4.807692307692308,0.1,0.8767777777777779,0.1370555555555556,0.8075,0.9445555555555556,1,600,0.5
23,3,100,5,4.807692307692308,0.1,0.8564732142857142,0.16774553571428563,0.7833705357142857,0.9511160714285714,1,500,0.48
22,2,100,5,4.807692307692308,0.1,0.8489583333333334,0.20040509259259276,0.726736111111111,0.9271412037037038,5,300,0.41
27,7,100,5,4.807692307692308,0.1,0.94609375,0.07399553571428585,0.9081473214285714,0.9821428571428572,3,500,0.52
24,4,100,5,4.807692307692308,0.1,0.9232142857142858,0.12098214285714282,0.8566964285714286,0.9776785714285714,1,500,0.54
26,6,100,5,4.807692307692308,0.1,0.8627777777777779,0.1423333333333333,0.7853333333333333,0.9276666666666666,1,500,0.49
25,5,100,5,4.807692307692308,0.1,0.832239819004525,0.19168552036199082,0.7397624434389141,0.9314479638009049,3,100,0.44
28,8,100,5,4.807692307692308,0.1,0.8236359688106012,0.19511680874272774,0.7310391584518423,0.92615596719457,3,200,0.45
33,13,100,5,4.807692307692308,0.1,0.9239955357142856,0.10736607142857135,0.8805245535714286,0.9878906249999999,2,100,0.52
29,9,100,5,4.807692307692308,0.1,0.8861111111111111,0.17105555555555552,0.8001666666666667,0.9712222222222222,3,600,0.5
31,11,100,5,4.807692307692308,0.1,0.8580867202650291,0.16378120959922426,0.7735491071428572,0.9373303167420814,2,400,0.55
34,14,100,5,4.807692307692308,0.1,0.897888888888889,0.13761111111111124,0.8223888888888888,0.9600000000000001,1,400,0.51
30,10,100,5,4.807692307692308,0.1,0.8139140271493215,0.1476244343891403,0.7336538461538461,0.8812782805429864,3,600,0.56
32,12,100,5,4.807692307692308,0.1,0.8178177521008404,0.2112157603425986,0.7375565610859729,0.9487723214285715,2,500,0.45
35,15,100,5,4.807692307692308,0.1,0.8882812500000001,0.14893973214285705,0.8246093750000001,0.9735491071428571,2,100,0.46
36,16,100,5,4.807692307692308,0.1,0.8708705357142857,0.13415178571428577,0.7991071428571428,0.9332589285714286,5,600,0.52
39,19,100,5,4.807692307692308,0.1,0.8854444444444445,0.1283333333333334,0.8215555555555555,0.9498888888888889,5,300,0.51
41,1,100,5,4.3103448275862055,0.2,0.9019230769230768,0.11357466063348409,0.8368778280542987,0.9504524886877828,1,300,0.42
42,2,100,5,4.3103448275862055,0.2,0.8965277777777778,0.1166666666666667,0.8366319444444444,0.9532986111111111,1,300,0.39
40,20,100,5,4.807692307692308,0.1,0.8494343891402716,0.16561085972850675,0.7770927601809955,0.9427036199095022,1,300,0.56
38,18,100,5,4.807692307692308,0.1,0.7975446428571428,0.22890624999999998,0.6775669642857143,0.9064732142857143,1,300,0.46
37,17,100,5,4.807692307692308,0.1,0.8628348214285714,0.17332589285714273,0.76484375,0.9381696428571428,1,600,0.48
43,3,100,5,4.3103448275862055,0.2,0.8506696428571429,0.14447544642857135,0.7732700892857143,0.9177455357142856,3,400,0.47
44,4,100,5,4.3103448275862055,0.2,0.8617647058823529,0.12929864253393675,0.79960407239819,0.9289027149321267,1,600,0.56
45,5,100,5,4.3103448275862055,0.2,0.8904977375565611,0.15786199095022624,0.806391402714932,0.9642533936651583,2,400,0.58
46,6,100,5,4.3103448275862055,0.2,0.8631111111111112,0.13288888888888883,0.8011111111111111,0.9339999999999999,3,200,0.5
49,9,100,5,4.3103448275862055,0.2,0.9155555555555557,0.1397222222222223,0.8403888888888889,0.9801111111111112,1,600,0.49
50,10,100,5,4.3103448275862055,0.2,0.9063616071428571,0.1559709821428571,0.8223772321428572,0.9783482142857143,1,600,0.47
